price,mileage,power,make_model,date,fuel,gear,offer_type,version,link;
6000,10400,41.0,Ducati Scrambler,06/2016,Gasoline,,Used,,/offers/ducati-scrambler-gasoline-orange-2f8664d8-c0ca-4adf-a6e1-bbd5085c9c32;
18799,185,,KTM 790 Adventure,12/2020,,Manual,Used,R Rally,/offers/ktm-790-adventure-r-rally-7cb455a4-4301-4e9e-adcc-79490313b5ea;
9000,12000,67.0,Harley-Davidson Sportster Forty Eight,10/2012,Gasoline,,Used,,/offers/harley-davidson-sportster-forty-eight-gasoline-black-c4ad2dc0-02ad-f33c-e053-0100007f8fd5;
7000,24100,110.0,Ducati Hypermotard 821,05/2013,Gasoline,,Used,,/offers/ducati-hypermotard-821-gasoline-black-86f6b9fc-a5cf-468e-b20d-6c8c6b9e8c7f;
900,11350,5.0,Kymco Dink 50,06/2011,Two Stroke Gasoline,,Used,50 ccm,/offers/kymco-dink-50-50-ccm-two-stroke-gasoline-grey-c70b78bb-93a4-c51b-e053-0100007f0223;
"2499,990,8.0,Yamaha D'elight,03/2019,Gasoline,Automatic,Used,""125 """"1. Hand, Scheckheft, nur 990 km"""""",/offers/yamaha-d-elight-125-1-hand-scheckheft-nur-990-km-gasoline-white-cd6b5e85-00c3-4b81-aa90-0769ef04910f";
14990,150,,Yamaha,01/2020,Gasoline,,Used,,/offers/yamaha-gasoline-red-9f67bfad-ff4a-473c-a034-81e3532d80c7;
12990,5000,,Indian FTR 1200,06/2019,Gasoline,,Used,S REPLICA,/offers/indian-ftr-1200-s-replica-gasoline-black-f6b16690-3217-4d0c-863c-0ba5befe968d;
9789,15239,140.0,Triumph Speed Triple 1050,03/2017,Gasoline,Manual,Used,,/offers/triumph-speed-triple-1050-gasoline-red-a24dcabb-3960-1231-e053-0100007f2dd0;
10789,25109,137.0,Ducati Monster 1200,07/2015,Gasoline,Manual,Used,S STRIPE - Zahnriemen Neu!,/offers/ducati-monster-1200-s-stripe-zahnriemen-neu-gasoline-red-155c6ee5-54fd-4854-bbed-5a1a24c93055;
8200,31000,67.0,Harley-Davidson Sportster 1200,07/2009,Gasoline,,Used,,/offers/harley-davidson-sportster-1200-gasoline-white-8801afc5-89a5-3b4d-e053-0100007f62ab;
